time (s),v("/A0" ?result "tran") (V)
12.54E-9,0.000
12.54E-9,0.000
12.54E-9,0.000
12.54E-9,0.000
12.54E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.55E-9,0.000
12.56E-9,0.000
12.56E-9,0.000
12.56E-9,0.000
12.57E-9,0.000
12.57E-9,0.000
12.58E-9,0.000
12.58E-9,0.000
12.58E-9,0.000
12.59E-9,0.000
12.60E-9,0.000
12.60E-9,0.000
12.61E-9,0.000
12.61E-9,0.000
12.61E-9,0.000
12.62E-9,0.000
12.62E-9,0.000
12.62E-9,0.000
12.63E-9,0.000
12.63E-9,0.000
12.63E-9,0.000
12.63E-9,0.000
12.63E-9,0.000
12.64E-9,0.000
12.64E-9,0.000
12.64E-9,0.000
12.64E-9,0.000
12.64E-9,0.000
12.65E-9,0.000
12.66E-9,0.000
12.67E-9,0.000
12.69E-9,0.000
12.71E-9,0.000
12.74E-9,0.000
12.78E-9,0.000
12.85E-9,0.000
12.94E-9,0.000
13.06E-9,0.000
13.22E-9,0.000
13.45E-9,0.000
13.75E-9,0.000
14.16E-9,0.000
14.58E-9,0.000
15.00E-9,0.000
15.00E-9,1.953E-3
15.00E-9,5.859E-3
15.00E-9,13.67E-3
15.00E-9,22.82E-3
15.00E-9,38.31E-3
15.01E-9,64.95E-3
15.01E-9,108.6E-3
15.02E-9,173.1E-3
15.03E-9,269.3E-3
15.03E-9,319.7E-3
15.04E-9,370.3E-3
15.04E-9,422.5E-3
15.05E-9,461.3E-3
15.05E-9,500.0E-3
15.05E-9,500.8E-3
15.05E-9,502.3E-3
15.05E-9,505.4E-3
15.05E-9,510.1E-3
15.05E-9,512.1E-3
15.05E-9,516.1E-3
15.05E-9,524.1E-3
15.05E-9,540.1E-3
15.06E-9,572.1E-3
15.06E-9,603.7E-3
15.06E-9,635.8E-3
15.07E-9,668.9E-3
15.07E-9,714.0E-3
15.08E-9,753.0E-3
15.08E-9,792.3E-3
15.08E-9,839.1E-3
15.09E-9,879.9E-3
15.09E-9,920.7E-3
15.10E-9,960.3E-3
15.10E-9,1.000
15.10E-9,1.000
15.10E-9,1.000
15.10E-9,1.000
15.10E-9,1.000
15.10E-9,1.000
15.10E-9,1.000
15.10E-9,1.000
15.11E-9,1.000
15.11E-9,1.000
15.12E-9,1.000
15.13E-9,1.000
15.14E-9,1.000
15.15E-9,1.000
15.17E-9,1.000
15.19E-9,1.000
15.20E-9,1.000
15.22E-9,1.000
15.23E-9,1.000
15.26E-9,1.000
15.30E-9,1.000
15.35E-9,1.000
15.42E-9,1.000
15.52E-9,1.000
15.64E-9,1.000
15.81E-9,1.000
16.03E-9,1.000
16.22E-9,1.000
16.43E-9,1.000
16.52E-9,1.000
16.69E-9,1.000
16.90E-9,1.000
17.20E-9,1.000
17.50E-9,1.000
17.50E-9,1.000
17.50E-9,1.000
17.50E-9,1.000
17.50E-9,1.000
17.50E-9,1.000
17.51E-9,1.000
17.51E-9,1.000
17.52E-9,1.000
17.53E-9,1.000
17.53E-9,1.000
17.53E-9,1.000
17.54E-9,1.000
17.54E-9,1.000
17.54E-9,1.000
17.54E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.55E-9,1.000
17.56E-9,1.000
17.56E-9,1.000
17.56E-9,1.000
17.57E-9,1.000
17.57E-9,1.000
17.57E-9,1.000
17.58E-9,1.000
17.58E-9,1.000
17.59E-9,1.000
17.60E-9,1.000
17.60E-9,1.000
17.61E-9,1.000
17.61E-9,1.000
17.61E-9,1.000
17.61E-9,1.000
17.61E-9,1.000
17.61E-9,1.000
17.61E-9,1.000
17.62E-9,1.000
17.62E-9,1.000
17.62E-9,1.000
17.62E-9,1.000
17.63E-9,1.000
17.63E-9,1.000
17.63E-9,1.000
17.64E-9,1.000
17.65E-9,1.000
17.65E-9,1.000
17.67E-9,1.000
17.68E-9,1.000
17.70E-9,1.000
17.73E-9,1.000
17.76E-9,1.000
17.83E-9,1.000
17.92E-9,1.000
18.04E-9,1.000
18.20E-9,1.000
18.41E-9,1.000
18.70E-9,1.000
19.09E-9,1.000
19.63E-9,1.000
20.00E-9,1.000
20.00E-9,998.0E-3
20.00E-9,994.1E-3
20.00E-9,986.3E-3
20.00E-9,977.0E-3
20.00E-9,961.0E-3
20.01E-9,936.1E-3
20.01E-9,896.5E-3
20.02E-9,847.0E-3
20.02E-9,779.1E-3
20.03E-9,698.1E-3
20.04E-9,646.9E-3
20.04E-9,587.0E-3
20.05E-9,539.0E-3
20.05E-9,500.0E-3
20.05E-9,499.4E-3
20.05E-9,498.1E-3
20.05E-9,495.7E-3
20.05E-9,491.6E-3
20.05E-9,490.0E-3
20.05E-9,486.7E-3
20.05E-9,480.1E-3
20.05E-9,476.9E-3
20.05E-9,470.3E-3
20.05E-9,457.2E-3
20.06E-9,431.1E-3
20.06E-9,402.3E-3
20.06E-9,371.5E-3
20.07E-9,339.7E-3
20.07E-9,299.3E-3
20.07E-9,261.9E-3
20.08E-9,226.9E-3
20.08E-9,186.9E-3
20.09E-9,134.5E-3
20.09E-9,92.29E-3
20.10E-9,46.13E-3
20.10E-9,0.000
20.10E-9,0.000
20.10E-9,0.000
20.10E-9,0.000
20.10E-9,0.000
20.10E-9,0.000
20.10E-9,0.000
20.10E-9,0.000
20.11E-9,0.000
20.11E-9,0.000
20.11E-9,0.000
20.12E-9,0.000
20.12E-9,0.000
20.13E-9,0.000
20.14E-9,0.000
20.14E-9,0.000
20.15E-9,0.000
20.16E-9,0.000
20.17E-9,0.000
20.18E-9,0.000
20.19E-9,0.000
20.20E-9,0.000
20.20E-9,0.000
20.20E-9,0.000
20.20E-9,0.000
20.20E-9,0.000
20.21E-9,0.000
20.21E-9,0.000
20.21E-9,0.000
20.22E-9,0.000
20.23E-9,0.000
20.24E-9,0.000
20.25E-9,0.000
20.26E-9,0.000
20.27E-9,0.000
20.28E-9,0.000
20.29E-9,0.000
20.31E-9,0.000
20.33E-9,0.000
20.35E-9,0.000
20.37E-9,0.000
20.39E-9,0.000
20.39E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.40E-9,0.000
20.41E-9,0.000
20.41E-9,0.000
20.41E-9,0.000
20.42E-9,0.000
20.44E-9,0.000
20.45E-9,0.000
20.47E-9,0.000
20.49E-9,0.000
20.52E-9,0.000
